X_data[0],X_data[2],Y_pred[0],E_pred[0],E_pred[2],N_SP[0]
0.0,2.0,1.9828209058513604,0.017179094148639606,0.0,0.0
0.01,2.0,1.944443995910248,0.016838925293108386,0.0010869331478695564,1.0
0.02,2.0,1.9065836146532675,0.016505492232216406,0.001813288548565407,1.0
0.03,2.0,1.8692623679071185,0.016178661588293477,0.0022347038276910878,1.0
0.04,2.0,1.8324996925897523,0.015858302624724225,0.002401656465967131,1.0
0.05,2.0,1.7963120101514953,0.015544287193651722,0.002362833223299262,1.0
0.06,2.0,1.7607128909801772,0.015236489684716605,0.0024515356613998025,1.0
0.07,2.0,1.7257132265075703,0.014934786974811279,0.0023640757666096336,2.0
0.08,2.0,1.6913214060708486,0.014639058378829025,0.002543922085646205,2.0
0.09,2.0,1.657543495909897,0.01434918560138835,0.0029441689284903775,3.0
0.1,2.0,1.6243834180092167,0.014065052689513255,0.0032020470591107852,4.0
0.11,2.0,1.591843126814091,0.013786545986250506,0.0035258998128644315,5.0
0.12,2.0,1.5599227821580903,0.013513554085205317,0.0038545037372419884,7.0
0.13,2.0,1.5286209170283542,0.013245967785977334,0.004177618538222056,8.0
0.14,2.0,1.4979345990629274,0.012983680050479002,0.004516546329830388,10.0
0.15,2.0,1.467859584918747,0.012726585960118905,0.0048032026778922505,13.0
0.16,2.0,1.4383904668685141,0.012474582673832928,0.005104333839708978,15.0
0.17,2.0,1.40952081117947,0.012227569386946472,0.005367238781388659,18.0
0.18,2.0,1.381243287997435,0.011985447290851227,0.0056056299268512095,22.0
0.19,2.0,1.3535497926063818,0.011748119533480417,0.005825193568501519,26.0
0.2,2.0,1.3264315580585693,0.011515491180566682,0.006012168483669418,31.0
0.21,2.0,1.299879259274547,0.011287469177667103,0.0061697319973027685,36.0
0.22,2.0,1.2738831087978597,0.011063962312940188,0.0062950771464628874,41.0
0.23,2.0,1.2484329444579145,0.010844881180659911,0.006386716533258057,48.0
0.24,2.0,1.2235183092480413,0.010630138145452243,0.006447524993688199,54.0
0.25,2.0,1.1991285237661087,0.010419647307239821,0.006476099505075528,62.0
0.26,2.0,1.1752527515938809,0.010213324466880778,0.006474417985568963,70.0
0.27,2.0,1.151880058010233,0.010011087092487962,0.0064434613449183805,79.0
0.28,2.0,1.1289994624438893,0.009812854286415084,0.006385408464853149,89.0
0.29,2.0,1.1065999850748798,0.009618546752896572,0.00630205433917515,100.0
0.3,2.0,1.0846706879916632,0.00942808676632822,0.006198238142764605,111.0
0.31,2.0,1.06320071130392,0.009241398140175897,0.00609412755735162,124.0
0.32,2.0,1.0421793046003638,0.009058406196499929,0.006009892875178523,137.0
0.33,2.0,1.0215958541273693,0.008879037736082921,0.005947534381626655,152.0
0.34,2.0,1.0014399060485308,0.008703221009149095,0.0059055090495997165,167.0
0.35,2.0,0.9817011861280297,0.008530885686663424,0.005881834513652251,184.0
0.36,2.0,0.9623696161624259,0.008361962832199078,0.0058745400396725414,202.0
0.37,2.0,0.9434353274666994,0.008196384874361933,0.005881580587936859,221.0
0.38,2.0,0.9248886717012804,0.008034085579761123,0.005900952066003364,241.0
0.39,2.0,0.9067202293078632,0.007875000026514787,0.005930714900478568,262.0
0.4,2.0,0.8889208158031229,0.007719064578280457,0.0059689761117309986,285.0
0.41,2.0,0.8714814861612676,0.0075662168587996735,0.0060139953677823006,309.0
0.42,2.0,0.8543935374987986,0.007416395726946645,0.006064089507600648,334.0
0.43,2.0,0.8376485102580409,0.007269541252270991,0.006117653431028152,361.0
0.44,2.0,0.8212381880699576,0.007125594691024754,0.0061732146411228135,390.0
0.45,2.0,0.8051545964615819,0.006984498462664122,0.006229424820802934,420.0
0.46,2.0,0.7893900005590899,0.006846196126816443,0.006285000202648332,452.0
0.47,2.0,0.7739369019241098,0.006710632360703326,0.006338800052500632,485.0
0.48,2.0,0.7587880346482709,0.00657775293701078,0.006389757328872686,520.0
0.49,2.0,0.7439363608193226,0.006447504702197579,0.00643692585753822,557.0
0.5,2.0,0.7293750654612516,0.006319835555233133,0.0064794604164241645,596.0
0.51,2.0,0.7150975510407647,0.006194694426756378,0.00651662165938308,636.0
0.52,2.0,0.7010974316231942,0.006072031258647353,0.006547741078313849,679.0
0.53,2.0,0.68736852675229,0.005951796984003282,0.006572272862803439,723.0
0.54,2.0,0.6739048551204931,0.005833943507511165,0.006589736878552124,769.0
0.55,2.0,0.6607006280890233,0.005718423686209003,0.006599740199772707,818.0
0.56,2.0,0.6477502431104727,0.00560519131062799,0.006601982917493811,868.0
0.57,2.0,0.6350482771005646,0.00549420108630811,0.006596223507479928,921.0
0.58,2.0,0.6225894798001386,0.005385408615679743,0.006582303929185265,976.0
0.59,2.0,0.6103687671634335,0.005278770380304053,0.006560129390685019,1033.0
0.6,2.0,0.5983812148040983,0.0051742437234650294,0.006529667060183505,1093.0
0.61,2.0,0.5866220515262146,0.005071786833106227,0.006490948791094078,1155.0
0.62,2.0,0.5750866529638194,0.004971358725105393,0.0064440616683804335,1219.0
0.63,2.0,0.5637705353489793,0.00487291922688027,0.006389148085292564,1286.0
0.64,2.0,0.552669349425382,0.004776428961319019,0.006326408743581186,1356.0
0.65,2.0,0.5417788745215975,0.004681849331028866,0.006256105573064763,1428.0
0.66,2.0,0.5310950127956493,0.004589142502896614,0.006178571459763738,1502.0
0.67,2.0,0.5206137836602585,0.004498271392954904,0.00609423798037051,1580.0
0.68,2.0,0.5103313183960898,0.004409199651548127,0.006003703072783274,1660.0
0.69,2.0,0.5002438549585138,0.004321891648792082,0.005907891485524296,1743.0
