X_data[0],X_data[2],Y_pred[0],E_pred[0],E_pred[2],N_SP[0]
0.0,2.0,1.9999398433419502,6.015665804981474e-05,0.0,0.0
0.01,2.0,1.960604627166469,5.8965476410996545e-05,0.00030020692248005444,2.0
0.02,2.0,1.9219513864851052,5.779788174895959e-05,0.0004421152681833524,8.0
0.03,2.0,1.883984729188681,5.665340701027092e-05,0.0005156330465864483,21.0
0.04,2.0,1.8467070073762673,5.553159438977518e-05,0.0005308836615525698,40.0
0.05,2.0,1.8101185129851425,5.443199514746649e-05,0.0005434769620468682,66.0
0.06,2.0,1.774217671462566,5.3354169428986396e-05,0.0005914948752953415,100.0
0.07,2.0,1.7390012312774488,5.229768608967631e-05,0.0006646605090684566,140.0
0.08,2.0,1.7044644474210104,5.126212252211387e-05,0.0007538390160705497,189.0
0.09,2.0,1.6706012573840172,5.024706448706435e-05,0.0008514417469181755,245.0
0.1,2.0,1.6374044484178396,4.9252105947779455e-05,0.000951218663954584,309.0
0.11,2.0,1.6048658151826822,4.827684890757718e-05,0.0010481639144795682,382.0
0.12,2.0,1.5729763071557052,4.732090325063783e-05,0.001138374443749742,463.0
0.13,2.0,1.541726165412515,4.638388658595252e-05,0.0012188981710506953,553.0
0.14,2.0,1.5111050486068285,4.5465424094361665e-05,0.0012876184799385112,651.0
0.15,2.0,1.481102148155269,4.4565148378622293e-05,0.0013431276537766552,759.0
0.16,2.0,1.451706292788019,4.368269931644427e-05,0.0013846276542011841,876.0
0.17,2.0,1.4229060427530555,4.2817723916436575e-05,0.001411828661971728,1003.0
0.18,2.0,1.3946897740636677,4.196987617690606e-05,0.0014248703206793047,1140.0
0.19,2.0,1.367045753258198,4.1138816947452115e-05,0.0014242663740268442,1286.0
0.2,2.0,1.3399622031996703,4.032421379330203e-05,0.0014109752370044066,1443.0
0.21,2.0,1.3134273604836193,3.952574086233261e-05,0.0013888636654580734,1611.0
0.22,2.0,1.2874295250473027,3.874307875472503e-05,0.001372271372029239,1789.0
0.23,2.0,1.2619571025849026,3.797591439520061e-05,0.001366036223813136,1978.0
0.24,2.0,1.2369986403733786,3.722394090778655e-05,0.0013693257841853627,2179.0
0.25,2.0,1.2125428571043737,3.648685749306143e-05,0.0013809356317438203,2391.0
0.26,2.0,1.1885786673007885,3.576436930783146e-05,0.0013996030007601373,2615.0
0.27,2.0,1.1650952008739255,3.505618734718923e-05,0.001424069163842842,2851.0
0.28,2.0,1.1420818183499875,3.436202832890795e-05,0.0014531087017826062,3099.0
0.29,2.0,1.1195281222643623,3.368161458012472e-05,0.0014855483720057196,3359.0
0.3,2.0,1.0974239651896884,3.3014673926267716e-05,0.0015202803342740598,3633.0
0.31,2.0,1.07575945483006,3.236093958218274e-05,0.0015562720264275342,3919.0
0.32,2.0,1.054524956579671,3.172015004541558e-05,0.0015925722447917286,4219.0
0.33,2.0,1.0337110939103522,3.1092048991607564e-05,0.0016283156621476813,4532.0
0.34,2.0,1.0133087469193016,3.0476385171962373e-05,0.0016627247040143975,4859.0
0.35,2.0,0.9933090493362946,2.987291231274319e-05,0.0016951101347705698,5201.0
0.36,2.0,0.9737033842590095,2.9281389016759913e-05,0.0017248702515072411,5556.0
0.37,2.0,0.9544833788561311,2.870157866680706e-05,0.0017514886692973884,5926.0
0.38,2.0,0.9356408982506479,2.813324933101375e-05,0.0017745316323565332,6312.0
0.39,2.0,0.9171680387704166,2.757617367006784e-05,0.0017936444871083082,6712.0
0.4,2.0,0.899057120729602,2.7030128846277174e-05,0.001808547508659661,7128.0
0.41,2.0,0.8813006808830665,2.6494896434431545e-05,0.0018190316960499271,7559.0
0.42,2.0,0.8638914646761086,2.5970262334429682e-05,0.001824954190941696,8007.0
0.43,2.0,0.8468224183941058,2.545601668563637e-05,0.001826233933335824,8471.0
0.44,2.0,0.8300866813005271,2.49519537829354e-05,0.0018228475168581718,8952.0
0.45,2.0,0.8136775778373337,2.445787199444475e-05,0.0018148259616492816,9449.0
0.46,2.0,0.7975886099489293,2.3973573680861187e-05,0.0018022532583015002,9964.0
0.47,2.0,0.7818134495793931,2.3498865116401887e-05,0.001785270809153165,10000.0
0.48,2.0,0.7663459313826855,2.303355641131152e-05,0.0017640881496423853,10000.0
0.49,2.0,0.7511800456766949,2.257746143590386e-05,0.0017390483844080566,10000.0
0.5,2.0,0.7363099316643322,2.2130397746107395e-05,0.0017108889030514084,10000.0
0.51,2.0,0.7217298709382453,2.1692186510485274e-05,0.0016817076088730361,10000.0
0.52,2.0,0.7074342812800409,2.126265243870036e-05,0.0016547736816184765,10000.0
0.53,2.0,0.693417710760053,2.0841623711396735e-05,0.001631601856295794,10000.0
0.54,2.0,0.6796748321396155,2.0428931911469693e-05,0.001612403048704324,10000.0
0.55,2.0,0.6662004375743886,2.0024411956696634e-05,0.001597047991287614,10000.0
0.56,2.0,0.6529894336144653,1.9627902033701965e-05,0.001585307846760342,10000.0
0.57,2.0,0.6400368364947149,1.9239243533229637e-05,0.0015769157831781418,10000.0
0.58,2.0,0.6273377677069844,1.885828098669726e-05,0.001571588521614237,10000.0
0.59,2.0,0.6148874498443574,1.848486200400666e-05,0.0015690361111506863,10000.0
0.6,2.0,0.6026812027066044,1.811883721258578e-05,0.0015689673451998482,10000.0
0.61,2.0,0.5907144396551773,1.776006019763765e-05,0.0015710932394345314,10000.0
0.62,2.0,0.5789826642055849,1.7408387443572532e-05,0.0015751295024631182,10000.0
0.63,2.0,0.5674814668446836,1.7063678276599775e-05,0.0015807984068707934,10000.0
