X_data[0],X_data[2],Y_pred[0],E_pred[0],E_pred[2],N_SP[0]
0.0,2.0,2.0022513963765154,0.002251396376515391,0.0,0.0
0.01,2.0,1.96291461736448,0.0022068157413480225,0.00038029863948531566,1.0
0.02,2.0,1.9242625589537425,0.002163117861901795,0.0006217770581010884,1.0
0.03,2.0,1.8862945722040956,0.002120285258442285,0.0006993242847521515,2.0
0.04,2.0,1.8490090946085558,0.0020783007973569985,0.0007207011117375162,3.0
0.05,2.0,1.8124036756554565,0.0020371476843017012,0.0007052029959403351,6.0
0.06,2.0,1.7764750068328474,0.0019968094574824564,0.0007406011483566381,9.0
0.07,2.0,1.74121895572569,0.001957269981070686,0.0008102758147437664,14.0
0.08,2.0,1.706630603821019,0.0019185134387486242,0.0009052454326499099,21.0
0.09,2.0,1.6727042876070886,0.0018805243273825824,0.001020173998340665,29.0
0.1,2.0,1.6394336425299223,0.0018432874508214857,0.001147947247313408,39.0
0.11,2.0,1.606811649354689,0.0018067879138182112,0.001283075279213404,51.0
0.12,2.0,1.574830682470048,0.0017710111160712909,0.0014202405400362897,66.0
0.13,2.0,1.54348255967083,0.0017359427463845953,0.0015552699891826158,83.0
0.14,2.0,1.5127585929579475,0.0017015687769426655,0.0016842761081922422,103.0
0.15,2.0,1.4826496399039177,0.0016678754576993989,0.0018042765501971182,125.0
0.16,2.0,1.4531461551473197,0.001634849310877848,0.0019127103885185426,151.0
0.17,2.0,1.4242382415994441,0.0016024771255789298,0.0020078130679916303,179.0
0.18,2.0,1.3959157009706606,0.0015707459524968896,0.002088187162530917,211.0
0.19,2.0,1.3681680832520366,0.0015396430987394069,0.00215299917196096,247.0
0.2,2.0,1.3409847348187944,0.0015091561227502685,0.0022018419125076137,286.0
0.21,2.0,1.314354844855619,0.0014792728293325798,0.0022346642149043403,329.0
0.22,2.0,1.2882674898389597,0.001449981264770525,0.002251767496168111,376.0
0.23,2.0,1.2627116758476393,0.0014212697120477198,0.002253756901915031,427.0
0.24,2.0,1.2376763785096667,0.001393126686160249,0.002241537553068541,482.0
0.25,2.0,1.2131505804295712,0.0013655409295225125,0.0022164491898674634,541.0
0.26,2.0,1.1891233059763031,0.0013385014074640403,0.002181736869178975,605.0
0.27,2.0,1.1655836533462844,0.001311997303815477,0.0021485886070262113,674.0
0.28,2.0,1.1425208238491644,0.0012860180165819705,0.0021248589883655273,748.0
0.29,2.0,1.119924148394857,0.0012605531537022323,0.0021105593540576566,826.0
0.3,2.0,1.0977831111892435,0.0012355925288915746,0.002104497266850765,910.0
0.31,2.0,1.0760873706722947,0.00121112615756726,0.002105292312843393,999.0
0.32,2.0,1.0548267777561342,0.0011871442528545366,0.0021115262835218348,1094.0
0.33,2.0,1.0339913914416536,0.001163637221671756,0.0021217967191248647,1194.0
0.34,2.0,1.0135714919106202,0.0011405956608930138,0.002134743053821791,1299.0
0.35,2.0,0.9935575912058331,0.001118010353586774,0.0021490652809485066,1411.0
0.36,2.0,0.9739404416248092,0.0010958722653289725,0.0021635402258569076,1529.0
0.37,2.0,0.9547110419628111,0.0010741725405891273,0.0021770309141962737,1652.0
0.38,2.0,0.9358606417488777,0.0010529024991880092,0.002188494323840981,1782.0
0.39,2.0,0.9173807436240465,0.0010320536328254535,0.002196989515747768,1919.0
0.4,2.0,0.8992631040143076,0.0010116176016769268,0.0022016819891583867,2062.0
0.41,2.0,0.8814997322522048,0.0009915862310574855,0.002201847104431362,2212.0
0.42,2.0,0.8640828883005657,0.000971951508151793,0.002196874699742386,2369.0
0.43,2.0,0.847005079229826,0.0009527055788088873,0.0021862750129128463,2532.0
0.44,2.0,0.8302590545969802,0.0009338407444004158,0.002169692265289144,2703.0
0.45,2.0,0.813837800869553,0.0009153494587410803,0.0021469464704120373,2881.0
0.46,2.0,0.7977345350323323,0.0008972243250700634,0.002118191351804204,3067.0
0.47,2.0,0.7819426975081073,0.0008794580930922252,0.002084732028294133,3260.0
0.48,2.0,0.766455944516497,0.000862043656077888,0.00205149345548551,3461.0
0.49,2.0,0.7512681399872821,0.0008449740480200507,0.0020239953348474755,3670.0
0.5,2.0,0.7363733471366326,0.0008282424408478922,0.0020039416503340153,3887.0
0.51,2.0,0.7217658198063678,0.0008118421416954527,0.001991585813404874,4112.0
0.52,2.0,0.7074399936580367,0.0007957665902243976,0.001986815168394803,4346.0
0.53,2.0,0.6933904773052527,0.0007800093559997948,0.0019893685776619287,4588.0
0.54,2.0,0.6796120434594691,0.0007645641359178554,0.0019988979781475585,4838.0
0.55,2.0,0.6660996201563074,0.0007494247516846077,0.0020149939533865143,5098.0
0.56,2.0,0.6528482821217263,0.000734585147344497,0.0020372004591749293,5366.0
0.57,2.0,0.6398532423297967,0.0007200393868579235,0.0020650246227765694,5643.0
0.58,2.0,0.627109843796678,0.0007057816517267461,0.002097944992789698,5930.0
0.59,2.0,0.6146135516486033,0.0006918062386668069,0.0021354186452565227,6226.0
0.6,2.0,0.6023599454953014,0.0006781075573265408,0.0021768873241590223,6531.0
0.61,2.0,0.5903447121343407,0.0006646801280507596,0.002221783141232174,6847.0
0.62,2.0,0.5785636386063671,0.0006515185796887188,0.0022695341703525885,7171.0
0.63,2.0,0.5670126056161421,0.0006386176474455838,0.002319568816701961,7506.0
0.64,2.0,0.5556875813296633,0.0006259721707764424,0.0023713207230303627,7851.0
0.65,2.0,0.544584615553456,0.0006135770913220184,0.002424232591546885,8207.0
0.66,2.0,0.5336998342983562,0.0006014274508852603,0.0024777600840842277,8572.0
