t,u,phi,omega,s,v
0,-8.12577671573538,3.14159265358979,0,0,0
0.0816326530612245,-6.54794562798515,3.17755228706707,0.881011020193281,-0.0244460180653403,-0.598927442600838
0.163265306122449,-3.8596251611059,3.27129914089544,1.41578689860184,-0.0906767810416537,-1.02372625031884
0.244897959183673,-2.00921077018696,3.39184835131776,1.53766875674493,-0.184023590199365,-1.26327057404508
0.326530612244898,-0.773344302543964,3.50886615017734,1.3292673153149,-0.291783378955616,-1.37684425048308
0.408163265306122,0.138505531826415,3.59892735053624,0.877232093477993,-0.405236451915863,-1.40275603704298
0.489795918367347,1.11817803489839,3.64485464257006,0.247986561350636,-0.517653548539571,-1.35146283023788
0.571428571428571,2.63089725786877,3.63325532684493,-0.532169796616423,-0.621731188504401,-1.19843934890045
0.653061224489796,5.15949355628333,3.55075272948926,-1.4891438385973,-0.706584395138253,-0.880464213628933
0.73469387755102,8.96680208211382,3.38004386443635,-2.69322335519902,-0.754925004600012,-0.30388071818415
0.816326530612245,13.1604956063878,3.10091170472716,-4.14551455767623,-0.742868124137741,0.599274289509791
0.897959183673469,14.1543387267499,2.70921909707112,-5.45095432989672,-0.648442010819761,1.71416548678072
0.979591836734694,8.24157820253992,2.24939290632373,-5.81478734341441,-0.471199152374872,2.62828454511908
1.06122448979592,-1.0403489236098,1.80645137740651,-5.03728011505744,-0.244648261929615,2.92221227078969
1.14285714285714,-6.95589519282468,1.44287125408064,-3.87043290642636,-0.0194218443498399,2.59583495991482
1.22448979591837,-8.39350267187875,1.16406816840996,-2.96024269250528,0.166911375427124,1.9693289246208
1.30612244897959,-7.50455432014534,0.946167922472504,-2.3783133329624,0.301187194359894,1.32042863923206
1.38775510204082,-5.92925171312873,0.767783564185385,-1.99210344507202,0.386596935782796,0.772110025629038
1.46938775510204,-4.37535290147395,0.617195374316249,-1.6973072067218,0.432459137600739,0.351513918910561
1.55102040816327,-3.07033760752417,0.488989768337631,-1.44373013975435,0.448749835672574,0.0476081838494135
1.63265306122449,-2.04885752342152,0.380516609234762,-1.21386225826594,0.444107779658706,-0.161338556189186
1.71428571428571,-1.28082848637806,0.289965571739634,-1.0046381603647,0.425390119911818,-0.297244107609576
1.79591836734694,-0.718412774684229,0.215594115174916,-0.817462525470886,0.397794613816139,-0.378845791734568
1.87755102040816,-0.316372286403915,0.155540576286335,-0.653849177299343,0.36514450326873,-0.421081916676941
1.95918367346939,-0.0362278105034521,0.107869480854045,-0.514092660791765,0.330183047185302,-0.435473757367037
2.04081632653061,0.152987120525853,0.0706748035914206,-0.397176932142522,0.294828686833845,-0.430708071243674
2.12244897959184,0.275114589280489,0.0421715011853565,-0.301153976806048,0.260382049963984,-0.413234532067905
2.20408163265306,0.34829062352708,0.0207533156677928,-0.223591568374265,0.227687194722802,-0.387789421341066
2.28571428571429,0.386299347133715,0.00501842705490326,-0.161913202641529,0.197254722127964,-0.357806157232462
2.36734693877551,0.399574600503792,-0.0062276649745755,-0.113616052080701,0.169355300625668,-0.325729669573788
2.44897959183673,0.395967427158732,-0.0139832502078752,-0.0763957861351405,0.144090474667396,-0.293258566403889
2.53061224489796,0.381350957759451,-0.0190690200350534,-0.0482055746307269,0.121445990920836,-0.26153128538682
2.61224489795918,0.360083368615255,-0.0221497355559898,-0.0272719556322158,0.101331707442986,-0.231268659820506
2.69387755102041,0.335360548006824,-0.0237561493564315,-0.0120851824786052,0.0836112236202743,-0.202883193835931
2.77551020408163,0.309495111846089,-0.0243055582978085,-0.00137533658513143,0.0681236420490828,-0.176562554658261
2.85714285714286,0.284135015112751,-0.0241200952751508,0.00591918064024601,0.0546993437545456,-0.1523327535579
2.93877551020408,0.260424617230049,-0.0234423262875753,0.010686159555353,0.0431712383118229,-0.130105829788806
3.02040816326531,0.239110058518309,-0.0224480643821858,0.0136732571266892,0.0333825652857452,-0.109716659350098
3.10204081632653,0.220597279152386,-0.0212565980923195,0.0155176669750368,0.0251919630858549,-0.0909530945472124
3.18367346938776,0.204974686480326,-0.0199387521000142,0.0167695598364429,0.0184762118702269,-0.0735828102356732
3.26530612244898,0.192005099267014,-0.0185233610294074,0.0179075213934243,0.0131308092616461,-0.0573795536745573
3.3469387755102,0.181078712243555,-0.0170029237687329,0.0193431914930997,0.00906831143816799,-0.0421516430006565
3.42857142857143,0.171094784556308,-0.0153395824516884,0.0214086707744901,0.00621407235406586,-0.0277772145598458
3.51020408163265,0.160209307119512,-0.0134734102984199,0.0243125469805888,0.00449848814455878,-0.0142545985730776
3.59183673469388,0.14533622573705,-0.0113367256900428,0.0280362259246508,0.00384387790345217,-0.00178335233403428
3.6734693877551,0.12120584989591,-0.00888149792898016,0.0321168542213828,0.00414234989223231,0.00909591605914777
3.75510204081633,0.0786451796197973,-0.00613312218728112,0.0352183514502438,0.0052178199737216,0.0172531009373399
3.83673469387755,0.00154634645259899,-0.00329497441526927,0.0343162689640467,0.00675983325485788,0.0205262244504989
3.91836734693878,-0.138189456472528,-0.000947155187960212,0.0232053021050252,0.00820779974890956,0.0149489546537671
4,-0.228059932544767,0,5.98125041393311e-30,0.00881796116334903,0
