phi, phidot, x, s
3.14159265358979,0.0,0.0,0.0
3.141960727604834,0.10018307820621974,0.0,-0.06633287114886066
3.143146210059719,0.20023569587699436,0.0,-0.13266574229772127
3.1451476724427576,0.30005887959370137,0.0,-0.19899861344658187
3.1479628779173447,0.3995535346941311,0.0,-0.26533148459544253
3.151588779973648,0.49862034860516535,0.0,-0.3316643557443034
3.1560215203124233,0.5971597003297107,0.0,-0.3979972268931643
3.161256426018574,0.6950715780900469,0.0,-0.4643300980420252
3.167288006098251,0.792255507078588,0.0,-0.5306629691908861
3.174109947468972,0.888610489202887,0.0,-0.596995840339747
3.17755228706707,0.881011020193281,-0.0244460180653403,-0.598927442600838
3.1850224386203987,0.9565750720305816,-0.024646312069671637,-0.6523800599721459
3.193105840773504,1.0311447040048862,-0.024848247146510728,-0.7058326773434538
3.201794080386099,1.104639501576607,-0.02505183674168679,-0.7592852947147617
3.2110780880787013,1.1769791161754468,-0.025257094411194995,-0.8127379120860696
3.2209481389822696,1.248083324740819,-0.025464033822099105,-0.8661905294573775
3.2313938540157308,1.3178721007046164,-0.02567266875344148,-0.9196431468286854
3.2424042017857295,1.3862656966505964,-0.025883013097160554,-0.9730957641999933
3.25396750120443,1.4531847387677412,-0.026095080859015844,-1.0265483815713012
3.266071424921722,1.5185503330921464,-0.02630888615952049,-1.0800009989426091
3.27129914089544,1.41578689860184,-0.0906767810416537,-1.02372625031884
3.2829688929390923,1.4460874178729537,-0.0914197247605925,-1.0552333944911336
3.294880501739489,1.474885958696247,-0.09216875565381304,-1.0867405386634272
3.3070215822967794,1.502149062211474,-0.09292392359547108,-1.1182476828357208
3.3193794822407248,1.5278448515899172,-0.09368527886835717,-1.1497548270080145
3.3319412950073852,1.5519431031040352,-0.0944528721672448,-1.181261971180308
3.3446938735895944,1.574415315379129,-0.09522675460226579,-1.2127691153526017
3.3576238448447335,1.59523477638174,-0.09600697770231363,-1.2442762595248953
3.3707176243397146,1.614376627703493,-0.09679359341847436,-1.275783403697189
3.383961431709487,1.6318179257075143,-0.0975866541274858,-1.3072905478694825
3.39184835131776,1.53766875674493,-0.184023590199365,-1.26327057404508
3.4043750278731233,1.5303840754088356,-0.18553135402715656,-1.279672294618034
3.416836583482555,1.5215619927484552,-0.1870514714437349,-1.2960740151909877
3.4292205057756306,1.511213132583989,-0.18858404366598375,-1.3124757357639416
3.4415143755233593,1.4993498605584643,-0.1901291727400888,-1.3288774563368955
3.453705880755416,1.4859862557527435,-0.19168696154833276,-1.3452791769098493
3.465782830632016,1.4711380786226915,-0.19325751381594547,-1.3616808974828032
3.4777331690411533,1.454822735463511,-0.19484093411801073,-1.378082618055757
3.4895449878936593,1.43705923962635,-0.19643732788642915,-1.394484338628711
3.5012065400904606,1.4178681697300939,-0.1980468014169386,-1.4108860592016648
3.50886615017734,1.3292673153149,-0.291783378955616,-1.37684425048308
3.5195871937729653,1.293620304109766,-0.2941740530200849,-1.383157265197725
3.5300127586669934,1.2567601032544824,-0.29658431463783735,-1.3894702799123702
3.540133084577636,1.2187258903515394,-0.2990143242959296,-1.3957832946270152
3.5499387342947406,1.1795577170699474,-0.3014642437963399,-1.4020963093416603
3.5594206005789317,1.1392964451707703,-0.30393423626674126,-1.4084093240563054
3.5685699125447314,1.0979836842686397,-0.30642446617136376,-1.4147223387709504
